Canada	neighbors	Canada is by far the closest of all our neighbors.
Mother Nature	want	3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P
Mother nature	tease	Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:)
Nature	tries	Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back
nature	value	... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future.
environment	comes	To start with, everything we are made of and everything we make comes from the environment.
U.S.	bully	International Poll Finds U.S. Still Viewed As World's Bully
States	Outlaw	Great Powers and Outlaw States: Unequal Sovereigns in the International Legal Order
debate	goalposts	Obama accused the Republicans of moving the goalposts in the debate about the deficit.
Political	Battlefield	Women: We Want You on the Political Battlefield
system	broken	But Scott Brown’s win in the Massachusetts Senate race does raise a bigger question: is the system broken? I fear the answer is yes.
nation	foundation	The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy.
nation	contains	Our nation contains some of the best entrepreneurs in the world.
United States	stands	Only one thing stands between Western civilization and chaos: the United States.
nation	gears	Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life.
nation	rouse	We must rouse our nation from its slumber.
country	grind	If the President doesn't show some leadership, the country will grind to a halt.
country	functions	...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.
national	family	Our national arguments are family arguments, we still talk to each other at the end of the day.
nation	parts	"""Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared"""
nation	built	No one built this country on their own. This nation is great because we built it together.
nation	build	“This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,”
nation	brick	They represent the brick and mortar of our nation's developing infrastructure.
nation	built	"""Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed."""
nation	body	Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.
nation	heart	Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!
state	ship	Scuttling the Ship of State to appease climate activists
country	sink	Our country is burdened by debt and that may sink us in the rough waters ahead.
sheep	covered	The grazing field was covered with sheep.
number	expanding	The city is expanding the number of recycling containers in parks.
god-fearing	straight	God-fearing men must keep strictly to the straight and narrow.
government	take care	The government takes good care of its people.
morally	bankrupt	He's morally bankrupt.
cash	flow	cash flow
money	gushing out	The money is gushing out of my retirement account.
money	dried	The money is all dried up.
assets	liquid	Liquid assets.
solution	grind	We're still trying to grind out the solution to this equation.
mind	operating	My mind isn't operating today.
mind	in	It's all in your mind.
mind	back	Keep it in the back of your mind.
decision	calculated	She came to a calculated decision.
mental	note	Let me make a mental note of that.
mind	imprinted	It's imprinted in my mind forever.
law	applies	It is unclear how the new law applies to this situation.
issue	weigh	Before we draw any conclusions, we must weigh both sides of the issue.
engine	dying	The engine is dying; we need to repair it.
Obama	overpower	It was a hard-fought battle, but in the end Romney didn't have the numbers to overpower Obama.
Bush	defeat	While at first the numbers were on his side, eventually Gore had to admit defeat to Bush in 2000.
primary	frontrunner	While Perry appeared to be the frontrunner, Romney came out ahead in the GOP primary.
presidential	race	In the presidential race of 2008, John McCain came up short.
election	knocked out	During the Democratic primary in 2008, John Edwards came out swinging but was swiftly knocked out of the election.
life	step	It's time to take the next big step in my life.
life	far	She hasn't gone as far in life as her parents had hoped.
life	course	His life has taken a good course.
life	traveled	As I've traveled through life, I've made a lot of friends along the way.
life	direction	He has changed his direction in life, and taken a more spiritual path.
money	little	She has very little money.
number	shrink	The number of available parking spaces continues to shrink.
bills	churning out	Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad.
idea	give	This gives me a great idea!
idea	got	I got a much better idea of what was going on after the last meeting.
knowledge	acquired	She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly.
experience	gave	Her experience gave her a great deal of knowledge.
country	steering	The president is steering the country into unknown waters.
nation	drove	The president drove the nation into a ditch.
country	drove	Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back'
country	drove	Where was he when he drove our country off a cliff?
country	head	Obama is the head of the country, whether some people don't like democracy or not.
legislation	grow	Out of these discussions will grow legislation of farreaching importance.
laws	dismantle	dismantle gun laws
law	build	How to Build A Law
democracy	pillars	Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time.
idea	put my finger	I've almost got an idea, but I can't quite put my finger on it.
problem	put my finger	I could never put my finger on what the problem was. I felt crazy at times and there were so many times that I would approach him with a very well-thought out ...
mean	see	I see what you mean.
mean	see	I see what you mean.
judge	referee	Feb 24, 2007 – A judge is often thought of in terms of a referree. But can a judge really be as objective as a sporting umpire?
society	fabric	Emigration has threatened to unravel the fabric of this small society.
coalition	weave	The chairman has managed to weave together quite a coalition
country	friend	Which country is your country's best friend?
learning	appetite	He has an appetite for learning.
curiosity	insatiable	He has an insatiable curiosity.
trading	heated up	Trading has really heated up this week.
Church	walls	The Crumbling Walls of the Roman Catholic Church
institution	health	May 27, 2011 – The “health” of an institution is measured by the effectiveness of its organization and mission, and also by how well it plans for the future.
institution	vehicles	I would venture to conclude from this that institutions are vehicles of subcultures driven by groups of people with a common destination
institution	machines	More especially, the analogy mentioned between institutions and machines must not be interpreted as proposing the theory that institutions are machines—in some essentialist sense.
institutions	factories	Society’s great institutions are factories of ideas, regularly churning out new frameworks, insights, and understanding.
institutions	factories	In this view, educational instititions are factories that take less productive workers as their raw materials, apply doses of training, and create more productive workers as outputs.
institutions	businesses	Religious institutions are businesses, the sermons are infomercials, the verse are nothing but commercial slogans.
Institutions	Businesses	Institutions Are Businesses, Too
legislation	blocked	Senate Republicans blocked legislation Wednesday that would have established a  billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.
bill	obstruct	This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.
information	get out	The detective couldn't get much information out of the partial shoe print.
story	contain	Tree rings contain the story of the region.
information	yielded	It was years before the fossils yielded any valuable information.
Germany	leads	Germany Leads the World
China	leads	China leads successful wildlife crime crackdown
social	ladder	Moving up the social ladder: The bottom rung vs the top rung
government	diet	Tom Barrett: Put state government on a diet
government	business	The business of municipal government is, in general, the most poorly managed business in the world.
debt	drowning	Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country.
government	transparency	Increasing transparency in government (title of article, International Journal on World Peace)
crime	infected	As It Opens to Outsiders, Cuba Is Infected by Crime
issue	central	The issue is central to these negotiations.
issue	lightweight	That's a lightweight issue.
problem	substantial	This is a substantive / substantial problem for us.
player	small	Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.
moral	disintegration	The consequence of idolatry is the moral disintegration of human society.
politician	crooked	He's a crooked politician.
rules	shatter	Shatter the rules of the market economy
idea	have	I have an idea.
idea	gave	She gave me a good idea.
ideas	gave birth	The theory of relativity gave birth to an enormous number of ideas in physics.
biology	father	He is the father of modern biology.
ideas	spawned	Look at what his ideas have spawned.
ideas	died	Those ideas died off in the Middle Ages.
ideas	live	His ideas will live on forever.
cognitive psychology	infancy	Cognitive psychology is still in its infancy.
idea	resurrected	That's an idea that ought to be resurrected.
idea	breathed new life	He breathed new life into that idea.
facts	indigestible	This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in.
thought	food	Food for thought nust be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected
top	rise	He'll rise to the top.
career	peak	He's at the peak of his career.
success	ladder	He's climbing the ladder of success.
social	hierarchy	They are at the bottom of the social hierarchy.
status	fell	She fell in status.
supervisor	top	He's gone over my head to the top supervisor.
flu	down	He's down with the flu.
health	peak	He's at the peak of health.
shape	top	He's in top shape.
spirits	boosted	That boosted my spirits.
spirits	rose	My spirits rose.
spirits	high	You're in high spirits.
joy	soaring	I'm soaring with joy.
spirits	fell	His spirits fell.
gun	infested	gun-infested state
gun	altar	altar of gun ownership
guns	worship	worship guns
firearms	glorify	glorify firearms
guns	addicted	The primary reason Americans are addicted to guns is due to the National Rifle Association's very effective — and immoral — campaign to instill fear into the heart of our citizens, which has paralyzed the soul of America.
guns	avalanche	avalanche of guns
gun	disease	‘America’s gun disease is a national security issue’
gun violence	cancerous	cancerous gun violence
gun violence	plague	plague of gun violence
debate	killed	Cynicism has killed the gun-control debate
gun control	saddle	saddle the American people with gun control
gun control	trap	gun control trap
gun control	sickness	gun control sickness
gun control	shackles	oppressive shackles of gun control
gun lobby	squashed	the gun lobby has squashed federal funding
problem	guided	She guided him through the problem.
analysis	walked	She walked him through the analysis.
course	led	She led him through the rough parts of the course.
cluster	belongs	The Milky Way belongs to a cluster of galaxies.
galaxy	has	Our galaxy has at least 100 billion planets.
group	part	"Earth is part of the group of ""terrestrial"" planets."
group	contains	This group contains twenty members.
group	in	There are twenty members in this group.
earning	salivated	He salivated with the thought of earning more money.
profits	hungered	The robber baron hungered for even greater profits.
Democrats and Republicans	moved closer	House Democrats and Republicans moved closer to agreeing on a budget today.
freedom	shore up	The government must shore up support for our religious freedoms.
liberties	strengthen	We need to strengthen our civil liberties.
laws	invaded	These gay marriage laws have invaded our religious rights.
government	stay out	The government needs to stay out of my bedroom.
rights	trampling	The government's move to censor the internet is trampling all over our rights to free speech and freedom of the press.
rights	steal	Overturning Roe v. Wade would steal away our right to privacy.
wiretapping	overstepped	The government overstepped a line when they proposed wiretapping citizens' phone lines.
freedom	encroaching	Gay marriage is encroaching on our religious freedoms.
freedom	chips away	Every new bill the President proposes chips away at our freedoms.
imposing	undermine	Imposing martial law will undermine the very foundations of democracy.
liberties	assault	Gun control is an assault on our civil liberties.
regulations	suffocated	The entrepreneur was suffocated by the all the onerous regulations he had to follow.
red tape	suffocated	Small business in the United States is literally being suffocated by red tape.
regulations	holding back	The restrictive regulations are holding back innovation.
regulation	handcuff	Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.
regulations	burden	The burdens of regulation on corporations hold down their profit margins.
regulations	obstacles	All these rules and regulations are obstacles to innovation.
government	muscle	China Using Government Muscle to Turbo Charge its Auto Industry
government	muscle	India government regains its muscle with reforms
government	referee	Government should be a referee, not an active player
government	withered	Withered government: leave it to the rich
government	living thing	"“Government is not a machine, but a living thing. It falls, not under the theory of the universe, but under the theory of organic life. It is accountable to Darwin, not to Newton. It is modified by its environment, necessitated by its tasks, shaped to its functions by the sheer pressure of life. No living thing can have its organs offset against each other, as checks, and live."""
government	slave master	There can be no doubt that the federal government is the new slave master, something the Founding Fathers warned us against.
government	Shepherds	Citizen Sheep Government Shepherds
government	shepherd	Such a power does not destroy, but it prevents existence; it does not tyrannize, but it compresses, enervates, extinguishes, and stupefies a people, till each nation is reduced to nothing better than a flock of timid and industrious animals, of which the government is the shepherd.
Obama and the Progressives	shepherd	Obama and the Progressives do not believe this. They believe they must decide what is best. In their view Americans are sheep and they are the shepherd.
government	cater	The government should cater to the needs of its citizens.
government	policeman	A proper government is only a policeman, acting as an agent of man’s self-defense, and, as such, may resort to force only against those who start the use of force.
government	loves	The US government loves you. In fact, it loves you so much that it’s willing shackle your legs together. Just to protect you – tough love, baby. Now, it may hurt a bit but just try to breathe through the pain. Remember – it hurts the government more than it hurts you.
government	infected	The government is infected with corruption.
democracy	cure	We must cure our ailing democracy with an infusion of new politicians.
Government	Parent	Big Father: The Government as Parent
country	parent	"Doctrine of Parens Patriae."" Parens Patriae means literally, ""parent of the country."" It refers traditionally to the role of STATE as sovereign and guardian of persons under legal disability."
government	lead	"""In my view, the federal government should lead the way.  The bill we’ve introduced requires the federal government to increase its use of renewable electricity and reduce its overall energy consumption in federal buildings, both new and old.  We can’t expect consumers to embrace energy efficient technology if their government does not do the same."""
government	follow	Parents are so uneducated about health that they will follow the government down any misguided path.
government	driving	The Syrian government is driving Syria into a dangerous zone.
government	steering	The current Japanese government is steering the country toward Socialism.
government	cure	to promote his fantasy that big government can cure our nation's ills.
Government	Cancerous	Once the stage has been set, radical surgery will be required to actually remove the malignant tumor that Cancerous Government has become.
government	babysitter	I believe in personal responsibility and the government shouldn't be a babysitter but I also believe in compassion for less advantageous people.
state	nanny	Can I decide what size soda I want to drink? No, that’s the nanny state’s job.
government	financial disarray	One of the worst-run businesses in the United States is also the largest business in the nation. The federal government is in financial disarray. It spends more than it makes and its investments are not based on sound financial principles.
governments	topple	Rising food prices can topple governments
government	collapse	Afghanistan's government could collapse after 2014.
government	machine	If the injustice is part of the necessary friction of the machine of government, let it go, let it go: perchance it will wear smooth--certainly the machine will wear out. If the injustice has a spring, or a pulley, or a rope, or a crank, exclusively for itself, then perhaps you may consider whether the remedy will not be worse than the evil; but if it is of such a nature that it requires you to be the agent of injustice to another, then I say, break the law. Let your life be a counter-friction to stop the machine. What I have to do is to see, at any rate, that I do not lend myself to the wrong which I condemn.
government	conduct	They had elected him (Jackson) to conduct the Government and to keep and remove its moneys, and he meant to do so on the principle that it was a simple machine.
government	shoulders	This responsibility falls squarely on the shoulders of the government.
government	toppled	The government was toppled.
government	fell	The government fell.
debt	ocean	The western world is drowning in an ocean of debt unlike anything the world has ever seen before
government	lean on	In times of need, the impoverished should be able to lean on our government for support.
welfare	safety net	We need welfare as a safety net.
welfare	addicted	Our country's poor are addicted to welfare.
welfare	addicts	We have a nation of welfare addicts who will always depend on the government for their next fix.
state dependency	trapping	...trapping so many people in state dependency robs them of their human dignity.
welfare	trap	[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence
government	handout	The government shouldn't just give handouts, it needs to encourage people to get jobs instead.
Congress	moved	Congress moved quickly to avoid a governmental shutdown.
state	took a step	The state took a big step toward banning assault weapons.
legislature	approach	The legislature is considering an alternative approach to deficit reduction.
bills	roadblocks	Postal Service bill faces roadblocks
prosperity	path	Our President will chart a path to prosperity.
recession	waters	We will navigate the choppy waters of recession into smooth fiscal sailing.
economy	navigate	'Pakistan's economy has ability to navigate through choppy waters'
bill	churned out	With a heavy Republican majority, Congress churned out bill after bill.
government	well-oiled gears	With a unified House and Senate, the well-oiled gears of government turn smoothly.
legislation	wheels	"""I look forward to helping keep the legislative wheels turning smoothly in our 105-day session"""
legislative	gears	Cloture would make the legislative gears turn smoothly.
theory	spelled out	The theory is spelled out in chapter 4.
law	letter	Follow the letter of the law.
sentence	well-crafted	This is a well-crafted sentence.
Promises	articulated	Promises should be articulated clearly.
force	large	A large force is needed to move a heavy object.
push	gave	She gave him a push.
kick	gave	He gave me a vicious kick.
cost	blood	Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood?
welfare	parasites	Should Welfare parasites be allowed to bleed working Americans for the rest of their lives without attempting to help themselves?
headache	have	I have a headache.
love	in	I'm in love.
depression	out	She's out of her depression.
insanity	close	She's close to insanity.
hibernation	goes	When at rest, the computer goes into hibernation.
advanced stage	is at	He's at an advanced stage in his studies.
state	in	What state is the project in?
headache	approaching	I can feel a headache approaching
symptoms	went away	My symptoms went away.
Satan	dark forces	The Bible clearly teaches that our struggle to live righteously is a struggle against the dark forces of Satan that seeks to rule us.
environment	shock	The oil spill has caused a shock to the environment.
environmental	malaise	Smog pollution is an environmental malaise.
Bay	nursing	Ecologists are nursing the Bay back to health.
takers	leeches	"The ""takers"" in this society are leeches on the success of job creators."
process	reaching the end	We are reaching the end of the house-buying process.
goals	reach	Finally, all my educational goals are in reach.
stages	entering	We are entering the last stages of filing for bankruptcy.
legislation	push through	Democrats Push Through Historic, Controversial Health Care Legislation
bill	move	The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.
jealousy	filled	He's filled with jealousy.
love	overflowing	She's overflowing with love.
jealousy	set aside	You have to set your jealousy aside.
love	hid	He hid his love from her.
passions	fiery	He is a man of fiery passions.
relationship	cooled off	Their relationship cooled off and they soon parted ways.
unloving	cold	His mother was always cold and unloving when he was a child.
excitement	bursting	He's bursting with excitement.
funny	side-splittingly	That joke is side-splittingly funny.
White House	fight	...the fight for the White House is being waged on intensely local terrain...
presidency	war	the war for the presidency is nearly over
election	fight	Both sides girded for battle, as they knew the general election would be a hard-won fight.
Campaign	Tactics	Campaign Craft: The Strategies, Tactics, and Art of Political Campaign Management
presidential	race	The GOP presidential race has a new front-runner: Gov. Rick Perry.
election	race	This year's US presidential election is shaping up to be a very close race, with the incumbent currently in front, but his challenger close on his heels.
election	finish line	Noem sprints to election finish line with stop in Elk Point, SD.
candidates	running	With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys.
primary-election	marathon	The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...
governor	race	Hutchinson the front-runner in 2014 governor's race
national	chessboard	Too often it is post mortem head scratching, as if democratic strategists do not realize every candidate is a pawn on the national. chessboard
Democratic primary	round	Beasley won the first round of Democratic primary for lieutenant governor in 1970, but failed to win a majority.
government	lean	Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government
efficiency	well oiled machine	Our state government, a well oiled machine of efficiency.
government	flabby	Like some it is supposed to serve, Massachusetts government has become flabby.
testing	stakes	Apparently, I’m not the only parent who’s concerned about high stakes testing.
education	resource	A good education is a powerful resource.
economy	humming	With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?
economic	engine	"""Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,"""
economy	falling apart	The economy is falling apart.
economy	health	force-feed the economy back to health
thought	makes me sick	The very thought of it makes me sick.
epidemic	victory	The doctors at the CDC led the way to victory against the flu epidemic.
cancer patient	battle	The cancer patient fought a long, hard, battle, but she eventually succumbed to her disease.
cancer	war	A Triumph in the War Against Cancer
leukemia	arsenal	With nothing left in their leukemia-fighting arsenal, the doctors were down to Dilaudid, a derivative of morphine...
diplomacy	weapons	The Weapons of Diplomacy, and the Human Factor
hard	bear	This situation is hard to bear.
problem	hard	This is a very hard problem to solve.
life	going nowhere	My life is going nowhere - I'm just spinning my wheels.
relationship	hurdles	We have a lot of hurdles to get over in our relationship.
problems	faced	They faced some tough problems at the beginning of their marriage but got over them quickly.
solved	different way	She solved the problem a different way.
openness	cultivate	Tips on how to cultivate openness to change.
democracy	sale	democracy for sale
democracy	seeds	plant the seeds of democracy
democracy	blossoms	democracy blossoms
democracy	fledging	fledgling democracy
democracy	wings	democracy spreads its wings
moral standards	high	He is a person of very high moral standards.
 debt	holding back	Debt is holding me back from reaching my goals.
debt	growing	Credit card debt has been growing significantly
Obama and Romney	strike blows	Obama and Romney Strike Blows Over Benghazi
criticism	attacked	He attacked the speaker with harsh words of criticism.
crime	beast	Crime is a beast ravaging the city.
crime	infected	Crime has infected communities everywhere.
legislation	grow	Out of these discussions will grow legislation of farreaching importance.
corruption	eroding	Corruption is eroding the public trust in government.
corruption	termites	Our nation has been infested with the termites of corruption, the worms of immorality, and a virus of indifference and apathy.
corruption	cancer	Our government is afflicted with the cancer of corruption.
corrupt officials	infecting	Corrupt officials are infecting our government at every level.
corruption	wave	California Cities Struggling Under Wave of Corruption
corruption	tsunami	FIFA facing corruption 'tsunami'
control	under	Relax. We've got everything under control.
command	high	He's in the high command.
echelon	upper	He's in the upper echelon.
power	rose	His power rose.
power	hold	The president kept his hold on power.
control	regained	She regained control of the assembly.
control	beyond	His actions are beyond my control.
control	out	The whole situation spiraled out of (our) control.
power	returned	He returned to power.
control	in	The president is in control of the executive branch.
fossil fues	gobbling up	Developing nations are gobbling up our fossil fuels at any alarming rate.
consume	appetite	The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.
gas	guzzler	This SUV sure is a gas guzzler.
forests	eating away	Demand for paper goods is eating away at our planet's forests.
Constitutional rights	trump	“Your dead kids don’t trump my Constitutional rights.”
wake	up	Wake up!
vanity	drove	Vanity finally drove me to have the operation.
playing	pulling ahead	We’ve been playing chess for years, and he’s finally pulling ahead of me.
widening	better writer	He’s a better writer than I am, and he’s widening the distance.
firm	restructure	We have to restructure this firm.
idea	gave	You gave me a great idea!
words	pack	Try to pack more thoughts into fewer words.
words	capturing	Whenever you have a good idea practice capturing it in words.
thoghts	across	Try to get your thoughts across better.
idea	give	You still have to give me an idea of what you mean.
mind	racing	My mind was racing.
mind	tired	My mind is tired.
individuals	slavery	This new slavery is a total dependence by individuals and families on government for the materials and funds necessary to maintain a minimum standard of living.
state	enslaved	...the people of America’s needs and priorities become second to the needs of the state and the people of America become enslaved to the state.
citizens	eyes and ears	Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State
rights	protect	We need to protect our rights from infringement.
rights	protect	Do gun rights protect against tyranny?
right	take away	Don't let anyone take away your right to vote.
